BINOMIAL,ID,Year,Lat,Long,Frequency,Duration,n,tau_p,tau_p_min,tau_p_max,tau_v,tau_v_min,tau_v_max,diffusion,diffusion_min,diffusion_max,HR,HR_min,HR_max,Speed,Speed_min,Speed_max
after,44100,2022,53.99259215,-121.5683553,720,33.49930556,68,1057355.647,166837.633,6701131.775,19482.61196,9986.01066,38010.39089,18.76042187,11.49468478,27.77700334,158246003,28455064.96,397158130.8,NA,NA,NA
after,44101,2022,54.729427,-121.6398906,720,33.5,68,2223183.654,229601.0137,21526671.33,8430.504027,1742.188997,40795.45805,9.301669568,6.256364905,12.94129289,217675370.7,23871907.53,620696557.3,NA,NA,NA
after,44106,2022,54.2044839,-121.5887465,720,33.5,67,589545.2246,141775.3098,2451509.875,NA,NA,NA,2.437257549,1.789187061,3.183942266,11822773.62,3129943.85,26185278.46,NA,NA,NA
after,45069,2022,51.6668359,-118.7833877,900,17.00069444,29,NA,NA,NA,NA,NA,NA,3.673956118,1.752025845,6.295441196,3339281.332,852218.474,7493005.984,NA,NA,NA
after,45317,2022,54.6852558,-121.6250078,720,33.5,68,2045901.11,214750.839,19491012.79,NA,NA,NA,10.64362967,8.192298951,13.4109066,218811274.4,23809125.74,625057934.1,NA,NA,NA
after,47355,2022,51.6158857,-118.9886071,900,17,26,382302.4164,82112.2253,1779943.693,NA,NA,NA,5.898921323,3.417787601,9.046055791,18429972.29,4611749.844,41641206.62,NA,NA,NA
after,81313,2022,53.9761493,-121.4199054,720,33.50069444,48,398037.4031,122342.7618,1294999.164,NA,NA,NA,19.36573956,12.3673322,27.90821495,59436800.12,21327343.66,116731497.1,NA,NA,NA
after,81315,2022,54.1937872,-121.25448,720,33.49930556,55,366007.2461,99082.26369,1352021.03,NA,NA,NA,4.671838031,2.733913489,7.12047773,12988410.11,4636154.055,25566873.36,NA,NA,NA
after,81380,2022,51.61315015,-118.988194,899,16.375,30,NA,NA,NA,NA,NA,NA,9.292690296,3.994364433,16.7893858,17236065.83,5202962.381,36345266.46,NA,NA,NA
after,83782,2022,54.7781003,-121.5113263,780,33.58263889,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,13142710.29,9210738.283,17762638.8,NA,NA,NA
after,85443,2022,54.73685085,-121.9425133,780,33.50069444,50,327155.2806,115055.0599,930255.2858,NA,NA,NA,17.90681523,11.53151168,25.66256566,51722233.56,21452293.64,95081736.33,NA,NA,NA
during,22562,2021,50.52656,-117.44944,1440,96,74,3344865.325,545321.0136,20516583.38,60292.39518,28313.95302,128388.0394,3.828810264,2.37144079,5.62963053,134154827.7,24530561.44,335053052.3,NA,NA,NA
during,22564,2021,50.49907,-117.16941,1440,97,83,802160.6677,289884.278,2219719.335,23094.61445,4541.068208,117452.809,4.61920693,3.063405675,6.489415224,23628072.34,10347987.59,42296523.5,NA,NA,NA
during,29082,2021,51.5047091,-118.9753998,781,36.83333333,37,NA,NA,NA,NA,NA,NA,5.02661323,3.198908054,7.260700431,14995377.82,7322053.508,25372671.41,NA,NA,NA
during,29088,2021,51.4095087,-118.8038547,780,54.16666667,58,2054686.046,340112.1271,12412773.35,23007.69647,10145.30393,52177.25371,8.172474464,5.223631863,11.77066668,174049484.6,31184439.49,437277278.7,NA,NA,NA
during,29089,2021,51.7633889,-118.7309651,781,54.16666667,53,656855.5643,171705.8344,2512781.432,NA,NA,NA,16.15424428,11.19547269,22.00786051,73074735.66,22022812.55,154188535.8,NA,NA,NA
during,29092,2021,51.5696744,-118.6903415,1560,52,45,527396.3489,185061.8252,1502994.518,NA,NA,NA,7.030559994,4.879920049,9.567674682,31671169.32,12573753.83,59436312.36,NA,NA,NA
during,29095,2021,51.5187501,-119.0104689,780,54.70833333,72,7214389.406,451804.6432,115198936.7,NA,NA,NA,3.162946459,2.400561137,4.028855212,221456737.1,14149079.48,705704336.4,NA,NA,NA
during,29098,2021,51.66878955,-118.8653851,780,54.16527778,56,3491578.784,330178.2556,36922850.61,47026.18681,22202.90697,99602.37411,2.583817214,1.457314066,4.027577671,95827332.16,10081889.72,275843202.4,NA,NA,NA
during,29102,2021,51.5743826,-118.6911708,780,54.70763889,66,396646.7002,175487.9692,896520.7445,NA,NA,NA,7.044730552,5.120603049,9.271004359,21533644.92,10369986.49,36707068.33,NA,NA,NA
during,29103,2021,51.6616557,-118.7895642,1561,50.91666667,28,2089021.71,233262.7283,18708568.4,NA,NA,NA,6.844248031,4.351672381,9.892152526,134850761.2,17359940.4,370123577.3,NA,NA,NA
