"ID","period","herd","Year","Lat","Long","Frequency","Duration","n","tau_p","tau_p_min","tau_p_max","tau_v","tau_v_min","tau_v_max","diffusion","diffusion_min","diffusion_max","HR","HR_min","HR_max","Speed","Speed_min","Speed_max","elev_220809","slope_220809","proj_age_220809","heli_ten_220809"
29082,"prior2","cn",2019,51.7607442,-118.7298419,781,39.54166667,41,720837.4258,118417.8848,4387906.4,NA,NA,NA,3.481343575,2.310559005,4.888287223,20337471.6,4150894.986,49135474.34,NA,NA,NA,2.02981716392636,3.27313272582244,1.56381233241568,0.968915026404225
29082,"prior1","cn",2020,51.5110468,-118.9821942,781,67.70833333,73,1806785.684,330304.4519,9883228.908,20167.39957,9138.021395,44508.97935,5.90439529,4.019352786,8.146189534,106568644.4,21642820.85,257868311.1,NA,NA,NA,3.12732590297316,2.53165095117049,0.495961605428617,0.582505038475632
29088,"during","cn",2021,51.4095087,-118.8038547,780,54.16666667,58,2054686.046,340112.1271,12412773.35,23007.69647,10145.30393,52177.25371,8.172474464,5.223631863,11.77066668,174049484.6,31184439.49,437277278.7,NA,NA,NA,2.16068071554557,2.25132356493447,0.647730396915643,0.0343253759596172
29088,"prior2","cn",2019,51.6625534,-118.8155357,780,39.54166667,49,900845.7348,198034.198,4097893.425,NA,NA,NA,8.491117231,5.781867301,11.71272768,54031320.17,12917908.98,124006633.8,NA,NA,NA,3.18934553810488,2.94885307940762,1.16595029383885,0.9946950200912
29088,"prior1","cn",2020,51.5561037,-118.7120252,780,68.25,98,895226.2248,269805.2276,2970402.022,NA,NA,NA,5.487846048,4.299597426,6.818871101,37210366.65,11927272.63,76618645.5,NA,NA,NA,3.22178858141856,2.10957364041782,1.38635636350215,1
29089,"prior1","cn",2020,51.67758875,-118.7274965,781,68.25069444,68,11108593.25,631882.1053,195290930.2,NA,NA,NA,4.4581477,3.413746136,5.6398078,502959167,29101337.8,1631812529,NA,NA,NA,2.50683281604946,2.57832982761318,0.839194322156581,0.787649217796731
29089,"during","cn",2021,51.7633889,-118.7309651,781,54.16666667,53,656855.5643,171705.8344,2512781.432,NA,NA,NA,16.15424428,11.19547269,22.00786051,73074735.66,22022812.55,154188535.8,NA,NA,NA,2.14595538995693,2.71557405291139,1.26900947237134,0.868845068541183
29089,"prior2","cn",2019,51.7593688,-118.7361531,781,38.99930556,40,818356.1075,167688.0106,3993766.258,NA,NA,NA,7.416083473,4.95620752,10.36378009,51265158.68,11907657.85,118806558.7,NA,NA,NA,2.26120053438319,2.90928225394031,1.29100512777764,0.976634068574964
29092,"prior2","cn",2019,51.60692385,-118.9663394,1560,37.91666667,28,NA,NA,NA,NA,NA,NA,6.934592524,4.454234159,9.955153996,8814568.705,4992229.367,13705608.24,NA,NA,NA,3.26737876699031,2.5712450052212,0.274213828082532,1
29092,"during","cn",2021,51.5696744,-118.6903415,1560,52,45,527396.3489,185061.8252,1502994.518,NA,NA,NA,7.030559994,4.879920049,9.567674682,31671169.32,12573753.83,59436312.36,NA,NA,NA,3.07626511291147,2.33792628728929,1.46975902441082,1
29092,"prior1","cn",2020,51.5098219,-118.9810031,1559,68.25069444,59,1786370.63,362351.7791,8806690.657,16120.49114,4241.350015,61270.64112,6.233773242,4.16093271,8.718935979,110372340,25056671.19,257735150.3,NA,NA,NA,3.10200458381956,2.49516589166703,0.456110919163211,0.550492379447165
29094,"prior2","cn",2019,51.75863145,-118.7289972,781,12.45833333,16,NA,NA,NA,NA,NA,NA,19.41845239,8.164196266,35.46437185,9093718.576,3010278.997,18479934.71,NA,NA,NA,2.2496929604292,2.77068126239043,1.38738542515067,1
29094,"prior1","cn",2020,51.6763575,-118.7256229,1560,66.62361111,55,410190.1498,177536.7369,947724.7463,NA,NA,NA,1.849319683,1.206723854,2.62689379,3624576.477,1807231.564,6063683.574,NA,NA,NA,2.99807633089674,3.59432217100953,0.720013124293751,1
29095,"prior1","cn",2020,51.5108818,-118.9816622,780,66.625,81,1570404.714,347491.383,7097070.85,19927.82146,9996.677862,39725.004,6.889880688,4.797071036,9.355595723,108353077.3,26406051.4,247061590.2,NA,NA,NA,3.11497907198155,2.47999292324987,0.45925304910539,0.553087031427703
29095,"prior2","cn",2019,51.6776441,-118.7219852,780,39,45,221993.7402,85612.48205,575631.2573,NA,NA,NA,1.270038965,0.732954939,1.952329872,1365533.073,631547.518,2377707.048,NA,NA,NA,3.020229681632,2.81420352405745,0.373885498715447,1
29095,"during","cn",2021,51.5187501,-119.0104689,780,54.70833333,72,7214389.406,451804.6432,115198936.7,NA,NA,NA,3.162946459,2.400561137,4.028855212,221456737.1,14149079.48,705704336.4,NA,NA,NA,3.04486106227458,2.3707421721813,0.408280046984589,0.567368774827687
29098,"prior2","cn",2019,51.6076735,-118.9702797,781,40.08263889,45,NA,NA,NA,NA,NA,NA,6.172920086,4.330916063,8.336210208,10321685.48,5984133.739,15822184.65,NA,NA,NA,3.31985320509029,2.5841054557509,0.273285964120738,1
29098,"during","cn",2021,51.66878955,-118.8653851,780,54.16527778,56,3491578.784,330178.2556,36922850.61,47026.18681,22202.90697,99602.37411,2.583817214,1.457314066,4.027577671,95827332.16,10081889.72,275843202.4,NA,NA,NA,3.35602856694124,2.91446197999188,0.893366648902981,0.99576023019531
29098,"prior1","cn",2020,51.7011083,-118.7943332,1560,67.70833333,55,2562457.058,248871.0228,26383891.95,NA,NA,NA,0.097098068,0.051550535,0.156825402,1218763.647,175291.3116,3252463.642,NA,NA,NA,2.71381228620356,3.89792523956993,0.953377705594008,1
29098,"after","cn",2022,51.6215009,-119.0018817,781,89.375,101,458938.7866,211540.862,995669.6207,11519.89606,2396.792416,55369.00245,3.152467393,2.340472298,4.083517912,12024725.89,6503453.563,19214669.07,NA,NA,NA,3.23480230954054,2.97057188230238,0.806661848800039,1
29102,"during","cn",2021,51.5743826,-118.6911708,780,54.70763889,66,396646.7002,175487.9692,896520.7445,NA,NA,NA,7.044730552,5.120603049,9.271004359,21533644.92,10369986.49,36707068.33,NA,NA,NA,3.26106932821201,1.9701818494015,1.61676268556333,1
29102,"prior1","cn",2020,51.5090261,-118.9799776,781,67.70833333,81,1231392.137,323243.3288,4690975.685,10936.18677,2380.892234,50233.34502,5.029511907,3.565063927,6.742013417,59710243.98,17350215.4,127770184.6,NA,NA,NA,3.16217918135336,2.33445006786302,0.568584487100312,0.581322162051701
29102,"prior2","cn",2019,51.67771705,-118.7221406,780,37.91666667,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426037.651,977250.945,1958289.357,NA,NA,NA,2.99121446165644,2.51868509156685,0.439163760510537,1
29103,"prior2","cn",2019,51.6650089,-118.8233019,1561,39.54097222,31,857454.0913,168709.1019,4357960.007,NA,NA,NA,9.806577554,5.908578683,14.67601352,60684319.43,13934702.55,141172993.7,NA,NA,NA,3.12760222138385,3.00163199268681,1.27344809360093,0.995315735509941
29103,"during","cn",2021,51.6616557,-118.7895642,1561,50.91666667,28,2089021.71,233262.7283,18708568.4,NA,NA,NA,6.844248031,4.351672381,9.892152526,134850761.2,17359940.4,370123577.3,NA,NA,NA,3.06760175968951,3.0739678190729,1.15510967424624,0.996842143361262
29103,"prior1","cn",2020,51.6116596,-118.7974495,1560,65.54236111,37,3636077.447,351674.9812,37594540.15,56408.35231,25892.6582,122888.202,29.8604481,16.0222609,47.93471088,920248602.2,102507629.4,2614653479,NA,NA,NA,2.7456571642462,2.70568356849623,0.869079921883331,0.667493102355607
